Concept,notation,inScheme,prefLabel (cs),prefLabel (en)
dpč,dpč,typy-pracovních-vztahů,Dohoda o pracovní činnosti,Agreement to Perform Work
dpp,dpp,typy-pracovních-vztahů,Dohoda o provedení práce,Agreement to Complete a Job
plný-úvazek,plný-úvazek,typy-pracovních-vztahů,Pracovní poměr - plný úvazek,Full time employment
zkrácený-úvazek,zkrácený-úvazek,typy-pracovních-vztahů,Pracovní poměr - zkrácený úvazek,Part time employment
služební-poměr,služební-poměr,typy-pracovních-vztahů,Služební poměr,Civil service employment
