Subject,notation,type,is in scheme,preferred label (cs),preferred label (en)
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/dpč,dpč,Concept,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,Dohoda o pracovní činnosti,Agreement to Perform Work
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/dpp,dpp,Concept,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,Dohoda o provedení práce,Agreement to Complete a Job
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/plný-úvazek,plný-úvazek,Concept,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,Pracovní poměr - plný úvazek,Full time employment
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/zkrácený-úvazek,zkrácený-úvazek,Concept,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,Pracovní poměr - zkrácený úvazek,Part time employment
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/služební-poměr,služební-poměr,Concept,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,Služební poměr,Civil service employment
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,,ConceptScheme,,Typy pracovních vztahů,Employment relation types
