Subject,first,rest
https://blank_Nodes_IRI.org/1476,1.66096682018682E1,https://blank_Nodes_IRI.org/2483
https://blank_Nodes_IRI.org/2483,4.919082521481369E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1482,1.601145981870187E1,https://blank_Nodes_IRI.org/2484
https://blank_Nodes_IRI.org/2484,4.93558163288205E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1489,1.66026746E1,https://blank_Nodes_IRI.org/2485
https://blank_Nodes_IRI.org/2485,4.91984432E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1497,1.659547484670638E1,https://blank_Nodes_IRI.org/2486
https://blank_Nodes_IRI.org/2486,4.918516755922142E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1500,1.6608123E1,https://blank_Nodes_IRI.org/2487
https://blank_Nodes_IRI.org/2487,4.9195051E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1504,1.660457726155454E1,https://blank_Nodes_IRI.org/2490
https://blank_Nodes_IRI.org/2490,4.919962603373218E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1510,1.660942699999998E1,https://blank_Nodes_IRI.org/2491
https://blank_Nodes_IRI.org/2491,4.91921197E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1513,1.658144319999997E1,https://blank_Nodes_IRI.org/2492
https://blank_Nodes_IRI.org/2492,4.922815740000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1517,1.66082596E1,https://blank_Nodes_IRI.org/2493
https://blank_Nodes_IRI.org/2493,4.9201543E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1523,1.660416239999995E1,https://blank_Nodes_IRI.org/2494
https://blank_Nodes_IRI.org/2494,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1529,1.660299503021847E1,https://blank_Nodes_IRI.org/2495
https://blank_Nodes_IRI.org/2495,4.919660707022236E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1537,1.663609869486829E1,https://blank_Nodes_IRI.org/2496
https://blank_Nodes_IRI.org/2496,4.920722590572092E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1543,1.660624454357026E1,https://blank_Nodes_IRI.org/2497
https://blank_Nodes_IRI.org/2497,4.91943579906536E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1549,1.661250599999994E1,https://blank_Nodes_IRI.org/2498
https://blank_Nodes_IRI.org/2498,4.91956227E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1556,1.660397E1,https://blank_Nodes_IRI.org/2499
https://blank_Nodes_IRI.org/2499,4.921003059999999E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1564,1.658180585868548E1,https://blank_Nodes_IRI.org/2500
https://blank_Nodes_IRI.org/2500,4.920128193962741E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1570,1.66082596E1,https://blank_Nodes_IRI.org/2501
https://blank_Nodes_IRI.org/2501,4.9201543E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1576,1.66026746E1,https://blank_Nodes_IRI.org/2502
https://blank_Nodes_IRI.org/2502,4.91984432E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1582,1.66022499289404E1,https://blank_Nodes_IRI.org/2503
https://blank_Nodes_IRI.org/2503,4.919113751969774E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1583,1.660942699999998E1,https://blank_Nodes_IRI.org/2504
https://blank_Nodes_IRI.org/2504,4.91921197E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1589,1.66038404E1,https://blank_Nodes_IRI.org/2506
https://blank_Nodes_IRI.org/2506,4.92079732E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1595,1.661250599999994E1,https://blank_Nodes_IRI.org/2507
https://blank_Nodes_IRI.org/2507,4.91956227E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1601,1.660397E1,https://blank_Nodes_IRI.org/2508
https://blank_Nodes_IRI.org/2508,4.921003059999999E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1609,1.660397E1,https://blank_Nodes_IRI.org/2509
https://blank_Nodes_IRI.org/2509,4.921003059999999E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1615,1.660416239999995E1,https://blank_Nodes_IRI.org/2510
https://blank_Nodes_IRI.org/2510,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1621,1.66082596E1,https://blank_Nodes_IRI.org/2513
https://blank_Nodes_IRI.org/2513,4.9201543E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1628,1.661369579999996E1,https://blank_Nodes_IRI.org/2514
https://blank_Nodes_IRI.org/2514,4.91959064E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1636,1.661250599999994E1,https://blank_Nodes_IRI.org/2515
https://blank_Nodes_IRI.org/2515,4.91956227E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1644,1.66070323E1,https://blank_Nodes_IRI.org/2516
https://blank_Nodes_IRI.org/2516,4.91938805E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1650,1.660741209983826E1,https://blank_Nodes_IRI.org/2517
https://blank_Nodes_IRI.org/2517,4.919101932867574E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1653,1.65839320421E1,https://blank_Nodes_IRI.org/2518
https://blank_Nodes_IRI.org/2518,4.91863878738E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1657,1.661396503197868E1,https://blank_Nodes_IRI.org/2519
https://blank_Nodes_IRI.org/2519,4.920202106067254E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
