Subject,downloadUrl,encodingFormat,type,má-podmínky-užití,má-vykonavatele-majetkových-práv-autorských-u-autorského-díla
https://blank_Nodes_IRI.org/859,https://www.gotobrno.cz/wp-content/uploads/2024/10/3-25-1024x683-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1237,https://blank_Nodes_IRI.org/1238
https://blank_Nodes_IRI.org/677,https://www.gotobrno.cz/wp-content/uploads/2017/06/mestske-divadlo-brno.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1243,https://blank_Nodes_IRI.org/1244
https://blank_Nodes_IRI.org/1041,https://www.gotobrno.cz/wp-content/uploads/2019/03/mahenka.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1249,https://blank_Nodes_IRI.org/1250
https://blank_Nodes_IRI.org/438,https://www.gotobrno.cz/wp-content/uploads/2018/02/lakomec-26.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1256,https://blank_Nodes_IRI.org/1257
https://blank_Nodes_IRI.org/569,https://www.gotobrno.cz/wp-content/uploads/2024/10/tomas-netopil-scaled.jpeg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1262,https://blank_Nodes_IRI.org/1263
https://blank_Nodes_IRI.org/836,https://www.gotobrno.cz/wp-content/uploads/2024/11/4.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1268,https://blank_Nodes_IRI.org/1269
https://blank_Nodes_IRI.org/466,https://www.gotobrno.cz/wp-content/uploads/2024/01/mbf_foto_tiskova_zprava__0001_photo-archiv-moravske-galerie.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1271,https://blank_Nodes_IRI.org/1272
https://blank_Nodes_IRI.org/1027,https://www.gotobrno.cz/wp-content/uploads/2024/12/vypraveni-ohen.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1276,https://blank_Nodes_IRI.org/1277
https://blank_Nodes_IRI.org/461,https://www.gotobrno.cz/wp-content/uploads/2024/12/961-2-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1282,https://blank_Nodes_IRI.org/1283
https://blank_Nodes_IRI.org/545,https://www.gotobrno.cz/wp-content/uploads/2017/07/brno-panorama.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1288,https://blank_Nodes_IRI.org/1289
