Subject,type,alternative label (cs),alternative label (en),is in scheme,notation,preferred label (cs),preferred label (en),Temporal Coverage,note (cs),definition (cs),hasBeginning,hasEnd,inXSDDate,je-nespecifikovaný
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1113,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (12),Euro-zone (12),1999-01-01,1113,Eurozóna (12),Euro-zone (12),118,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1114,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (13),Euro-zone (13),1999-01-01,1114,Eurozóna (13),Euro-zone (13),124,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1115,http://www.w3.org/2004/02/skos/core#Concept,EHP,EEA,1999-01-01,1115,Evropský hospodářský prostor,European Economic Area,127,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1116,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (15),Euro-zone (15),1999-01-01,1116,Eurozóna (15),Euro-zone (15),130,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1117,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (16),Euro-zone (16),1999-01-01,1117,Eurozóna (16),Euro-zone (16),133,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1118,http://www.w3.org/2004/02/skos/core#Concept,Země mimo eurozónu (16),Extra-euro-zone (16),1999-01-01,1118,Země mimo eurozónu (16),Extra-euro-zone (16),136,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1120,http://www.w3.org/2004/02/skos/core#Concept,WBCs,WBCs,1999-01-01,1120,Země západního Balkánu,Western Balkan Countries,139,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1130,http://www.w3.org/2004/02/skos/core#Concept,Kandidátské země,Candidate countries,1999-01-01,1130,Kandidátské země,Candidate countries,142,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1310,http://www.w3.org/2004/02/skos/core#Concept,NAFTA,NAFTA,1999-01-01,1310,Severoamerická dohoda o volném obchodu,North American Free Trade Agreement,145,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1330,http://www.w3.org/2004/02/skos/core#Concept,MERCOSUR,MERCOSUR,1999-01-01,1330,Společný jihoamerický trh,South American Common Market,148,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1410,http://www.w3.org/2004/02/skos/core#Concept,NICs,NICs,1999-01-01,1410,Nově industrializované asijské země,Newly-industrialised Asian countries,151,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1415,http://www.w3.org/2004/02/skos/core#Concept,DAEs,DAEs,1999-01-01,1415,Asijská dynamická hospodářství,Dynamic Asian economies,155,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1420,http://www.w3.org/2004/02/skos/core#Concept,APEC,APEC,1999-01-01,1420,Asijsko-tichomořská hospodářská spolupráce,Asia Pacific Economic Cooperation,158,,,,,,
