Subject,type,alternative label (cs),alternative label (en),is in scheme,notation,preferred label (cs),preferred label (en),Temporal Coverage,note (cs),definition (cs),hasBeginning,hasEnd,inXSDDate,je-nespecifikovaný
https://blank_Nodes_IRI.org/103,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,104,105,,
https://blank_Nodes_IRI.org/104,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2018-01-01,
https://blank_Nodes_IRI.org/105,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/106,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,107,108,,
https://blank_Nodes_IRI.org/107,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2018-01-01,
https://blank_Nodes_IRI.org/108,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/109,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,110,111,,
https://blank_Nodes_IRI.org/110,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/90,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/111,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/112,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,113,114,,
https://blank_Nodes_IRI.org/113,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2004-05-01,
https://blank_Nodes_IRI.org/114,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/115,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,116,117,,
https://blank_Nodes_IRI.org/116,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2007-01-01,
https://blank_Nodes_IRI.org/117,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/118,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,119,120,,
https://blank_Nodes_IRI.org/119,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2003-01-01,
https://blank_Nodes_IRI.org/120,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/121,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,122,123,,
https://blank_Nodes_IRI.org/124,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,125,126,,
https://blank_Nodes_IRI.org/125,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2007-01-01,
https://blank_Nodes_IRI.org/126,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/127,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,128,129,,
https://blank_Nodes_IRI.org/128,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/129,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/130,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,131,132,,
https://blank_Nodes_IRI.org/131,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2008-01-01,
https://blank_Nodes_IRI.org/132,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/133,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,134,135,,
https://blank_Nodes_IRI.org/122,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/134,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2010-01-01,
https://blank_Nodes_IRI.org/135,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/136,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,137,138,,
https://blank_Nodes_IRI.org/137,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2010-01-01,
https://blank_Nodes_IRI.org/138,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/139,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,140,141,,
https://blank_Nodes_IRI.org/140,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/141,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/142,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,143,144,,
https://blank_Nodes_IRI.org/143,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2001-01-01,
https://blank_Nodes_IRI.org/123,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/144,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/145,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,146,147,,
https://blank_Nodes_IRI.org/146,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/147,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/148,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,149,150,,
https://blank_Nodes_IRI.org/149,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/150,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/151,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,152,153,,
https://blank_Nodes_IRI.org/152,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/153,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/154,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,3,15,,
https://blank_Nodes_IRI.org/155,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,156,157,,
https://blank_Nodes_IRI.org/156,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/157,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/158,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,159,160,,
https://blank_Nodes_IRI.org/159,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/160,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/161,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,162,163,,
https://blank_Nodes_IRI.org/162,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2004-01-01,
https://blank_Nodes_IRI.org/163,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/164,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,4,5,,
