Concept,notation,type,is in scheme,preferred label (cs),preferred label (en)
dpp,dpp,Concept,typy-pracovních-vztahů,Dohoda o provedení práce,Agreement to Complete a Job
služební-poměr,služební-poměr,Concept,typy-pracovních-vztahů,Služební poměr,Civil service employment
plný-úvazek,plný-úvazek,Concept,typy-pracovních-vztahů,Pracovní poměr - plný úvazek,Full time employment
zkrácený-úvazek,zkrácený-úvazek,Concept,typy-pracovních-vztahů,Pracovní poměr - zkrácený úvazek,Part time employment
dpč,dpč,Concept,typy-pracovních-vztahů,Dohoda o pracovní činnosti,Agreement to Perform Work
