Subject,type,preferred label (en),is in scheme,preferred label (cs),notation
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,ConceptScheme,Employment relation types,,Typy pracovních vztahů,
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/dpč,Concept,Agreement to Perform Work,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,Dohoda o pracovní činnosti,dpč
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/dpp,Concept,Agreement to Complete a Job,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,Dohoda o provedení práce,dpp
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/plný-úvazek,Concept,Full time employment,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,Pracovní poměr - plný úvazek,plný-úvazek
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/zkrácený-úvazek,Concept,Part time employment,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,Pracovní poměr - zkrácený úvazek,zkrácený-úvazek
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/služební-poměr,Concept,Civil service employment,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,Služební poměr,služební-poměr
