Subject,openingHoursSpecification,má-kontakt,geometry,Title (cs),Title (en),type,má-přílohu
https://www.gotobrno.cz/akce/pruvodcovske-sluzby-prohlidky-brna-pro-skoly/,724,,725,Prohlídky Brna pro školy,Guided tours &#8211; Tours of Brno for schools,"http://purl.org/dc/terms/Location,http://schema.org/Event",
https://www.gotobrno.cz/festival/autenticke-prohlidky/,,,,,,http://schema.org/Event,
