Concept,notation,inScheme,prefLabel (cs),prefLabel (en),Concept,null
dpč,null,null,,,null,null
dpp,null,null,,,null,null
plný-úvazek,null,null,,,null,null
zkrácený-úvazek,null,null,,,null,null
služební-poměr,null,null,,,null,null
