id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#notation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#notation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#notation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#notation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#notation
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/dpč,[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Agreement to Perform Work"@en],["Agreement to Perform Work"@en],["dpč"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Agreement to Perform Work"@en],["Agreement to Perform Work"@en],["dpč"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Agreement to Perform Work"@en],["Agreement to Perform Work"@en],["dpč"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Agreement to Perform Work"@en],["Agreement to Perform Work"@en],["dpč"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Agreement to Perform Work"@en],["Agreement to Perform Work"@en],["dpč"]
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/dpp,[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Agreement to Complete a Job"@en],["Agreement to Complete a Job"@en],["dpp"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Agreement to Complete a Job"@en],["Agreement to Complete a Job"@en],["dpp"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Agreement to Complete a Job"@en],["Agreement to Complete a Job"@en],["dpp"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Agreement to Complete a Job"@en],["Agreement to Complete a Job"@en],["dpp"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Agreement to Complete a Job"@en],["Agreement to Complete a Job"@en],["dpp"]
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/plný-úvazek,[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Full time employment"@en],["Full time employment"@en],["plný-úvazek"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Full time employment"@en],["Full time employment"@en],["plný-úvazek"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Full time employment"@en],["Full time employment"@en],["plný-úvazek"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Full time employment"@en],["Full time employment"@en],["plný-úvazek"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Full time employment"@en],["Full time employment"@en],["plný-úvazek"]
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/zkrácený-úvazek,[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Part time employment"@en],["Part time employment"@en],["zkrácený-úvazek"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Part time employment"@en],["Part time employment"@en],["zkrácený-úvazek"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Part time employment"@en],["Part time employment"@en],["zkrácený-úvazek"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Part time employment"@en],["Part time employment"@en],["zkrácený-úvazek"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Part time employment"@en],["Part time employment"@en],["zkrácený-úvazek"]
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/služební-poměr,[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Civil service employment"@en],["Civil service employment"@en],["služební-poměr"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Civil service employment"@en],["Civil service employment"@en],["služební-poměr"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Civil service employment"@en],["Civil service employment"@en],["služební-poměr"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Civil service employment"@en],["Civil service employment"@en],["služební-poměr"],[http://www.w3.org/2004/02/skos/core#Concept],[https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů],["Civil service employment"@en],["Civil service employment"@en],["služební-poměr"]
