"Subject","Type"
"https://w3id.org/italia/env/ld/ihi/businessentity/068032","Comune"
"https://w3id.org/italia/env/ld/ihi/businessentity/082063","Comune"
"https://w3id.org/italia/env/ld/ihi/businessentity/051022","Comune"
"https://w3id.org/italia/env/ld/ihi/businessentity/103055","Comune"
"https://w3id.org/italia/env/ld/ihi/businessentity/021049","Comune"
"https://w3id.org/italia/env/ld/ihi/businessentity/068031","Comune"
"https://w3id.org/italia/env/ld/ihi/businessentity/006126","Comune"
"https://w3id.org/italia/env/ld/ihi/businessentity/016028","Comune"
