id,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#notation
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/dpč,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,'"Dohoda o pracovní činnosti"@cs,"Agreement to Perform Work"@en',dpč
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/dpp,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,'"Dohoda o provedení práce"@cs,"Agreement to Complete a Job"@en',dpp
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/plný-úvazek,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,"Pracovní poměr - plný úvazek"@cs,"Full time employment"@en',plný-úvazek
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/zkrácený-úvazek,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,'"Pracovní poměr - zkrácený úvazek"@cs,"Part time employment"@en',zkrácený-úvazek
https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů/položky/služební-poměr,https://data.mvcr.gov.cz/zdroj/číselníky/typy-pracovních-vztahů,'"Služební poměr"@cs,"Civil service employment"@en',služební-poměr
