Subject,dimension,order,label (cs)
https://blank_Nodes_IRI.org/0,https://data.cssz.cz/ontology/dimension/datum,1,Datum
https://blank_Nodes_IRI.org/1,https://data.cssz.cz/ontology/dimension/kraj,3,Kraj
https://blank_Nodes_IRI.org/2,https://data.cssz.cz/ontology/dimension/typ-posudku,2,Typ posudku
