https://blank_Nodes_IRI.org/1281,1.661784364549345E1,https://blank_Nodes_IRI.org/2023
https://blank_Nodes_IRI.org/2023,4.919880516985283E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1287,1.66265280556E1,https://blank_Nodes_IRI.org/2024
https://blank_Nodes_IRI.org/2024,4.92020922222E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1294,1.659305229932812E1,https://blank_Nodes_IRI.org/2025
https://blank_Nodes_IRI.org/2025,4.922749289369727E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1302,1.659474280463354E1,https://blank_Nodes_IRI.org/2026
https://blank_Nodes_IRI.org/2026,4.920405406326666E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1306,1.6608123E1,https://blank_Nodes_IRI.org/2027
https://blank_Nodes_IRI.org/2027,4.9195051E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1309,1.660416239999995E1,https://blank_Nodes_IRI.org/2028
https://blank_Nodes_IRI.org/2028,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1315,1.661104820000003E1,https://blank_Nodes_IRI.org/2029
https://blank_Nodes_IRI.org/2029,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1319,1.658144319999997E1,https://blank_Nodes_IRI.org/2030
https://blank_Nodes_IRI.org/2030,4.922815740000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1322,1.661104820000003E1,https://blank_Nodes_IRI.org/2031
https://blank_Nodes_IRI.org/2031,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1328,1.659774589538574E1,https://blank_Nodes_IRI.org/2032
https://blank_Nodes_IRI.org/2032,4.920538330078125E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1334,1.661369579999996E1,https://blank_Nodes_IRI.org/2033
https://blank_Nodes_IRI.org/2033,4.91959064E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1342,1.661250599999994E1,https://blank_Nodes_IRI.org/2034
https://blank_Nodes_IRI.org/2034,4.91956227E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1348,1.659474280463354E1,https://blank_Nodes_IRI.org/2035
https://blank_Nodes_IRI.org/2035,4.920405406326666E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1354,1.661104820000003E1,https://blank_Nodes_IRI.org/2036
https://blank_Nodes_IRI.org/2036,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1361,1.66082596E1,https://blank_Nodes_IRI.org/2037
https://blank_Nodes_IRI.org/2037,4.9201543E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1369,1.660942699999998E1,https://blank_Nodes_IRI.org/2039
https://blank_Nodes_IRI.org/2039,4.91921197E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1375,1.661369579999996E1,https://blank_Nodes_IRI.org/2040
https://blank_Nodes_IRI.org/2040,4.91959064E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1381,1.660416239999995E1,https://blank_Nodes_IRI.org/2041
https://blank_Nodes_IRI.org/2041,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1387,1.659474280463354E1,https://blank_Nodes_IRI.org/2042
https://blank_Nodes_IRI.org/2042,4.920405406326666E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1388,1.65839320421E1,https://blank_Nodes_IRI.org/2043
https://blank_Nodes_IRI.org/2043,4.91863878738E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1394,1.660416239999995E1,https://blank_Nodes_IRI.org/2046
https://blank_Nodes_IRI.org/2046,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1400,1.66082596E1,https://blank_Nodes_IRI.org/2047
https://blank_Nodes_IRI.org/2047,4.9201543E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1406,1.658101160000001E1,https://blank_Nodes_IRI.org/2048
https://blank_Nodes_IRI.org/2048,4.91839923E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1414,1.660416239999995E1,https://blank_Nodes_IRI.org/2049
https://blank_Nodes_IRI.org/2049,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1420,1.660848569999996E1,https://blank_Nodes_IRI.org/2050
https://blank_Nodes_IRI.org/2050,4.9197547E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1426,1.659278798963024E1,https://blank_Nodes_IRI.org/2051
https://blank_Nodes_IRI.org/2051,4.919927181642814E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1433,1.661250599999994E1,https://blank_Nodes_IRI.org/2052
https://blank_Nodes_IRI.org/2052,4.91956227E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1441,1.658886749682006E1,https://blank_Nodes_IRI.org/2053
https://blank_Nodes_IRI.org/2053,4.920956995479473E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1449,1.660306720785988E1,https://blank_Nodes_IRI.org/2054
https://blank_Nodes_IRI.org/2054,4.920052000592386E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1455,1.660416239999995E1,https://blank_Nodes_IRI.org/2055
https://blank_Nodes_IRI.org/2055,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1458,1.66022499289404E1,https://blank_Nodes_IRI.org/2058
https://blank_Nodes_IRI.org/2058,4.919113751969774E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1462,1.66082596E1,https://blank_Nodes_IRI.org/2059
https://blank_Nodes_IRI.org/2059,4.9201543E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
