"Subject","type","prefLabel (en)","member","inScheme","notation","prefLabel (cs)","broader"
"https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura","http://www.w3.org/2004/02/skos/core#ConceptScheme","Organizational structure of FMP CUNI","","","","Organizační struktura MFF UK",""
"https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/kolekce/fakulty","http://www.w3.org/2004/02/skos/core#Collection","","https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116","","","",""
"https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116","http://www.w3.org/2004/02/skos/core#Concept","Faculty of Mathematics and Physics","","https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura","116","Matematicko-fyzikální fakulta",""
"https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/0","http://www.w3.org/2004/02/skos/core#Concept","Authorities of the Faculty","","https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura","0","Orgány fakulty","https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116"
"https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/kolekce/sekce","http://www.w3.org/2004/02/skos/core#Collection","","https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/1170,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/1171","","","",""
"https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/1170","http://www.w3.org/2004/02/skos/core#Concept","School of Physics","","https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura","1170","Fyzikální sekce","https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116"
"https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/1171","http://www.w3.org/2004/02/skos/core#Concept","","","https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura","1171","Informatická sekce","https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116"
