Concept,type,is in scheme,typy-pracovních-vztahů_type,typy-pracovních-vztahů_preferred label (cs),typy-pracovních-vztahů_preferred label (en),preferred label (cs),preferred label (en),notation
dpč,Concept,typy-pracovních-vztahů,ConceptScheme,Typy pracovních vztahů,Employment relation types,Dohoda o pracovní činnosti,Agreement to Perform Work,dpč
dpp,Concept,typy-pracovních-vztahů,ConceptScheme,Typy pracovních vztahů,Employment relation types,Dohoda o provedení práce,Agreement to Complete a Job,dpp
plný-úvazek,Concept,typy-pracovních-vztahů,ConceptScheme,Typy pracovních vztahů,Employment relation types,Pracovní poměr - plný úvazek,Full time employment,plný-úvazek
zkrácený-úvazek,Concept,typy-pracovních-vztahů,ConceptScheme,Typy pracovních vztahů,Employment relation types,Pracovní poměr - zkrácený úvazek,Part time employment,zkrácený-úvazek
služební-poměr,Concept,typy-pracovních-vztahů,ConceptScheme,Typy pracovních vztahů,Employment relation types,Služební poměr,Civil service employment,služební-poměr
