Subject,rest,first
2263,2264,1.6608123E1
1294,2025,1.659305229932812E1
1170,2001,1.66026746E1
1728,2108,1.660416239999995E1
1606,2086,1.661104820000003E1
1846,2129,1.659903824329376E1
1966,2153,1.660911320933483E1
1600,2085,1.659278798963024E1
1720,2107,1.661104820000003E1
2259,2260,1.6608123E1
2257,2258,1.65266954740783E1
1287,2024,1.66265280556E1
2255,2256,1.660961539999994E1
2253,2254,1.6608123E1
1162,2000,1.66082596E1
2251,2252,1.65943811111E1
1281,2023,1.661784364549345E1
1839,2128,1.661369579999996E1
1958,2151,1.66033136844635E1
1714,2106,1.66134713E1
1833,2127,1.6608123E1
1952,2150,1.66033136844635E1
2248,2249,1.661250599999994E1
2005,2157,1.661464620000004E1
2246,2247,1.662257822495526E1
1155,1999,1.66082596E1
2244,2245,1.66026746E1
1275,2020,1.661186830968997E1
2286,2287,1.660416239999995E1
2164,2165,1.661606519999998E1
1195,2007,1.660624454357026E1
2284,2285,1.6608123E1
2162,2163,1.659253924338304E1
2281,2282,1.6608123E1
1509,2067,1.658886749682006E1
1626,2089,1.659774589538574E1
1747,2112,1.661104820000003E1
1866,2132,1.661369579999996E1
1501,2066,1.660457726155454E1
1985,2156,1.6608123E1
1620,2088,1.661104820000003E1
1741,2111,1.661104820000003E1
2279,2280,1.6608123E1
1189,2006,1.660624454357026E1
1860,2131,1.659452698968812E1
2277,2278,1.66026746E1
2275,2276,1.659547484670638E1
2273,2274,1.660942699999998E1
1183,2004,1.660946530993786E1
1182,2003,1.660624454357026E1
2271,2272,1.660457726155454E1
1978,2155,1.660204785294802E1
1735,2110,1.659253924338304E1
1734,2109,1.661369579999996E1
1612,2087,1.660942699999998E1
1854,2130,1.661104820000003E1
1972,2154,1.6505425893104E1
2269,2270,1.601145981870187E1
2267,2268,1.661104820000003E1
1176,2002,1.660397E1
2265,2266,1.66096682018682E1
1252,2016,1.660422110000002E1
1494,2065,1.661250599999994E1
2220,2221,1.661186830968997E1
1807,2123,1.66109571E1
1806,2122,1.658144319999997E1
1926,2144,1.6607841E1
1129,1995,1.660350215134985E1
1800,2121,1.660846337578698E1
2338,2339,1.66070323E1
1248,2015,1.661369579999996E1
1369,2039,1.660942699999998E1
2216,2217,1.6608123E1
2336,2337,1.661250599999994E1
1488,2064,1.660942699999998E1
2214,2215,1.660961539999994E1
2334,2335,1.658886749682006E1
1123,1994,1.660741209983826E1
2212,2213,1.660736440000005E1
1122,1993,1.6608123E1
2332,2333,1.661369579999996E1
1242,2014,1.66082596E1
2210,2211,1.658101160000001E1
2330,2331,1.66082596E1
1361,2037,1.66082596E1
1482,2062,1.661104820000003E1
1918,2143,1.661369579999996E1
1911,2142,1.661250599999994E1
2208,2209,1.6607841E1
2328,2329,1.660416239999995E1
2206,2207,1.658144319999997E1
1116,1992,1.661396503197868E1
2326,2327,1.6608123E1
1236,2013,1.66026746E1
2204,2205,1.658902910681524E1
2202,2203,1.6608123E1
1354,2036,1.661104820000003E1
2322,2323,1.660397E1
1474,2061,1.6608123E1
2200,2201,1.659903824329376E1
1110,1991,1.660741209983826E1
1594,2084,1.656706050000003E1
2320,2321,1.660397E1
2242,2243,1.66033136844635E1
1394,2046,1.660416239999995E1
2240,2241,1.66028757E1
1706,2105,1.660416239999995E1
1827,2126,1.661369579999996E1
