èíselník;èíselník_název_cs;èíselník_název_en;èíselník_položka;èíselník_položka_kód;èíselník_položka_název_cs;èíselník_položka_název_en
https://data.mvcr.gov.cz/zdroj/èíselníky/typy-pracovních-vztahù;Typy pracovních vztahù;Employment relation types;https://data.mvcr.gov.cz/zdroj/èíselníky/typy-pracovních-vztahù/položky/dpè;dpè;Dohoda o pracovní èinnosti;Agreement to Perform Work
https://data.mvcr.gov.cz/zdroj/èíselníky/typy-pracovních-vztahù;Typy pracovních vztahù;Employment relation types;https://data.mvcr.gov.cz/zdroj/èíselníky/typy-pracovních-vztahù/položky/dpp;dpp;Dohoda o provedení práce;Agreement to Complete a Job
https://data.mvcr.gov.cz/zdroj/èíselníky/typy-pracovních-vztahù;Typy pracovních vztahù;Employment relation types;https://data.mvcr.gov.cz/zdroj/èíselníky/typy-pracovních-vztahù/položky/plný-úvazek;plný-úvazek;Pracovní pomìr - plný úvazek;Full time employment
https://data.mvcr.gov.cz/zdroj/èíselníky/typy-pracovních-vztahù;Typy pracovních vztahù;Employment relation types;https://data.mvcr.gov.cz/zdroj/èíselníky/typy-pracovních-vztahù/položky/zkrácený-úvazek;zkrácený-úvazek;Pracovní pomìr - zkrácený úvazek;Part time employment
https://data.mvcr.gov.cz/zdroj/èíselníky/typy-pracovních-vztahù;Typy pracovních vztahù;Employment relation types;https://data.mvcr.gov.cz/zdroj/èíselníky/typy-pracovních-vztahù/položky/služební-pomìr;služební-pomìr;Služební pomìr;Civil service employment
